model,family,n_outputs,n_parse_failures,failure_rate,failure_rate_percent
Qwen/Qwen2.5-7B-Instruct,framework,12150,340,0.027983539094650206,2.7983539094650207
Qwen/Qwen2.5-7B-Instruct,generic,14175,9,0.0006349206349206349,0.06349206349206349
Qwen/Qwen2.5-14B-Instruct,framework,12150,1469,0.12090534979423868,12.090534979423868
Qwen/Qwen2.5-14B-Instruct,generic,14175,60,0.004232804232804233,0.4232804232804233
Qwen/Qwen2.5-32B-Instruct,framework,12150,171,0.014074074074074074,1.4074074074074074
Qwen/Qwen2.5-32B-Instruct,generic,14175,10,0.0007054673721340388,0.07054673721340389
