category,strategy,label,precision,recall,f1,support
interpretation,cleo,arbitration,0.0,0.0,0.0,9.0
interpretation,cleo,choice of law,0.0,0.0,0.0,9.0
interpretation,cleo,content removal,0.0,0.0,0.0,18.0
interpretation,cleo,limitation of liability,0.0,0.0,0.0,27.0
interpretation,cleo,other,1.0,0.0031746031746031746,0.006329113924050633,315.0
interpretation,cleo,unilateral change,0.0,0.0,0.0,18.0
interpretation,cleo,unilateral termination,0.0,0.0,0.0,9.0
interpretation,cot,arbitration,0.11428571428571428,0.4444444444444444,0.18181818181818182,9.0
interpretation,cot,choice of law,0.47058823529411764,0.8888888888888888,0.6153846153846154,9.0
interpretation,cot,content removal,1.0,0.4444444444444444,0.6153846153846154,18.0
interpretation,cot,limitation of liability,0.5526315789473685,0.7777777777777778,0.6461538461538462,27.0
interpretation,cot,other,0.9774436090225563,0.4126984126984127,0.5803571428571429,315.0
interpretation,cot,unilateral change,0.45714285714285713,0.8888888888888888,0.6037735849056604,18.0
interpretation,cot,unilateral termination,0.28,0.7777777777777778,0.4117647058823529,9.0
interpretation,crac,arbitration,0.0,0.0,0.0,9.0
interpretation,crac,choice of law,0.0,0.0,0.0,9.0
interpretation,crac,content removal,0.0,0.0,0.0,18.0
interpretation,crac,limitation of liability,0.0,0.0,0.0,27.0
interpretation,crac,other,0.0,0.0,0.0,315.0
interpretation,crac,unilateral change,0.0,0.0,0.0,18.0
interpretation,crac,unilateral termination,0.0,0.0,0.0,9.0
interpretation,creac,arbitration,0.0,0.0,0.0,9.0
interpretation,creac,choice of law,0.0,0.0,0.0,9.0
interpretation,creac,content removal,0.0,0.0,0.0,18.0
interpretation,creac,limitation of liability,0.0,0.0,0.0,27.0
interpretation,creac,other,0.0,0.0,0.0,315.0
interpretation,creac,unilateral change,0.0,0.0,0.0,18.0
interpretation,creac,unilateral termination,0.0,0.0,0.0,9.0
interpretation,few_shot_2,arbitration,0.05263157894736842,0.1111111111111111,0.07142857142857142,9.0
interpretation,few_shot_2,choice of law,0.3,0.3333333333333333,0.3157894736842105,9.0
interpretation,few_shot_2,content removal,1.0,0.3333333333333333,0.5,18.0
interpretation,few_shot_2,limitation of liability,0.5714285714285714,0.7407407407407407,0.6451612903225806,27.0
interpretation,few_shot_2,other,0.8833333333333333,0.6730158730158731,0.7639639639639639,315.0
interpretation,few_shot_2,unilateral change,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
interpretation,few_shot_2,unilateral termination,0.125,0.1111111111111111,0.11764705882352941,9.0
interpretation,few_shot_3,arbitration,0.0,0.0,0.0,9.0
interpretation,few_shot_3,choice of law,0.375,0.3333333333333333,0.35294117647058826,9.0
interpretation,few_shot_3,content removal,1.0,0.2222222222222222,0.36363636363636365,18.0
interpretation,few_shot_3,limitation of liability,0.5333333333333333,0.5925925925925926,0.5614035087719298,27.0
interpretation,few_shot_3,other,0.8439716312056738,0.7555555555555555,0.7973199329983249,315.0
interpretation,few_shot_3,unilateral change,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
interpretation,few_shot_3,unilateral termination,0.0,0.0,0.0,9.0
interpretation,irac,arbitration,0.0,0.0,0.0,9.0
interpretation,irac,choice of law,0.0,0.0,0.0,9.0
interpretation,irac,content removal,0.0,0.0,0.0,18.0
interpretation,irac,limitation of liability,0.0,0.0,0.0,27.0
interpretation,irac,other,0.0,0.0,0.0,315.0
interpretation,irac,unilateral change,0.0,0.0,0.0,18.0
interpretation,irac,unilateral termination,0.0,0.0,0.0,9.0
interpretation,ireac,arbitration,0.0,0.0,0.0,9.0
interpretation,ireac,choice of law,0.0,0.0,0.0,9.0
interpretation,ireac,content removal,0.0,0.0,0.0,18.0
interpretation,ireac,limitation of liability,0.0,0.0,0.0,27.0
interpretation,ireac,other,0.0,0.0,0.0,315.0
interpretation,ireac,unilateral change,0.0,0.0,0.0,18.0
interpretation,ireac,unilateral termination,0.0,0.0,0.0,9.0
interpretation,one_shot,arbitration,0.03225806451612903,0.1111111111111111,0.05,9.0
interpretation,one_shot,choice of law,0.23076923076923078,0.3333333333333333,0.2727272727272727,9.0
interpretation,one_shot,content removal,1.0,0.4444444444444444,0.6153846153846154,18.0
interpretation,one_shot,limitation of liability,0.47368421052631576,0.6666666666666666,0.5538461538461539,27.0
interpretation,one_shot,other,0.8951965065502183,0.6507936507936508,0.7536764705882353,315.0
interpretation,one_shot,unilateral change,0.6923076923076923,1.0,0.8181818181818182,18.0
interpretation,one_shot,unilateral termination,0.36363636363636365,0.4444444444444444,0.4,9.0
interpretation,role_based,arbitration,0.08928571428571429,0.5555555555555556,0.15384615384615385,9.0
interpretation,role_based,choice of law,0.42105263157894735,0.8888888888888888,0.5714285714285714,9.0
interpretation,role_based,content removal,0.8888888888888888,0.4444444444444444,0.5925925925925926,18.0
interpretation,role_based,limitation of liability,0.5208333333333334,0.9259259259259259,0.6666666666666666,27.0
