model_a,model_b,category,strategy,n_matched_pairs,both_correct,both_wrong,a_correct_b_wrong,a_wrong_b_correct,accuracy_a,accuracy_b,test_statistic,p_value,method,significant_at_0.05
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,cot,405,364,10,6,25,0.9135802469135802,0.9604938271604938,10.451612903225806,0.001225424070670712,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,irac,405,327,21,12,45,0.837037037037037,0.9185185185185185,17.964912280701753,2.2501463293714722e-05,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,crac,405,358,10,8,29,0.9037037037037037,0.9555555555555556,10.81081081081081,0.001009090988096044,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,creac,405,359,10,4,32,0.8962962962962963,0.9654320987654321,20.25,6.795346249460114e-06,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,cleo,405,352,19,6,28,0.8839506172839506,0.9382716049382716,12.970588235294118,0.0003164225904462903,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,treacc,405,256,22,11,116,0.6592592592592592,0.9185185185185185,85.16535433070867,2.744284405214218e-20,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,ireac,405,328,23,7,47,0.8271604938271605,0.9259259259259259,28.166666666666668,1.1130505569040589e-07,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,zero_shot,405,137,100,102,66,0.5901234567901235,0.5012345679012346,7.291666666666667,0.006927517977226513,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,one_shot,405,106,101,122,76,0.562962962962963,0.44938271604938274,10.227272727272727,0.0013837912401647972,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,few_shot_2,405,70,64,158,113,0.562962962962963,0.45185185185185184,7.143911439114391,0.007521891783501008,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,few_shot_3,405,141,106,103,55,0.6024691358024692,0.4839506172839506,13.981012658227849,0.00018466612699603803,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,role_based,405,149,99,90,67,0.5901234567901235,0.5333333333333333,3.082802547770701,0.07912407678835914,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,structured,405,173,116,52,64,0.5555555555555556,0.5851851851851851,1.043103448275862,0.3071007888373495,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,cot,405,137,127,72,69,0.5160493827160494,0.508641975308642,0.028368794326241134,0.8662447063946982,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,irac,405,141,187,47,30,0.4641975308641975,0.4222222222222222,3.324675324675325,0.06824748837800118,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,crac,405,143,117,70,75,0.5259259259259259,0.5382716049382716,0.1103448275862069,0.7397518955670814,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,creac,405,128,105,112,60,0.5925925925925926,0.4641975308641975,15.122093023255815,0.000100776978072955,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,cleo,405,135,185,33,52,0.4148148148148148,0.4617283950617284,3.8117647058823527,0.050893803297302365,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,treacc,405,144,194,31,36,0.43209876543209874,0.4444444444444444,0.23880597014925373,0.6250698391291288,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-recall,ireac,405,145,181,45,34,0.4691358024691358,0.4419753086419753,1.2658227848101267,0.260551787808584,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,zero_shot,405,147,126,51,81,0.4888888888888889,0.562962962962963,6.371212121212121,0.011598634449035238,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,one_shot,405,136,145,65,59,0.4962962962962963,0.48148148148148145,0.20161290322580644,0.6534220947553175,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,few_shot_2,405,121,119,101,64,0.5481481481481482,0.4567901234567901,7.8545454545454545,0.0050693095567016086,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,few_shot_3,405,127,130,77,71,0.5037037037037037,0.4888888888888889,0.16891891891891891,0.6810743911297943,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,role_based,405,180,70,90,65,0.6666666666666666,0.6049382716049383,3.7161290322580647,0.05388916788295906,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,structured,405,159,94,79,73,0.5876543209876544,0.5728395061728395,0.16447368421052633,0.6850706623180767,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,cot,405,179,77,74,75,0.6246913580246913,0.6271604938271605,0.0,1.0,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,irac,405,111,97,72,125,0.45185185185185184,0.582716049382716,13.725888324873097,0.0002115187017648914,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,crac,405,105,162,47,91,0.37530864197530867,0.4839506172839506,13.398550724637682,0.00025181879150300567,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,creac,405,97,186,48,74,0.35802469135802467,0.4222222222222222,5.122950819672131,0.023611433781462098,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,cleo,405,113,121,59,112,0.4246913580246914,0.5555555555555556,15.812865497076023,6.992542159171162e-05,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,treacc,405,31,184,17,173,0.11851851851851852,0.5037037037037037,126.44736842105263,2.454249971321644e-29,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,ireac,405,108,129,50,118,0.39012345679012345,0.5580246913580247,26.720238095238095,2.3514571938042107e-07,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,zero_shot,405,228,110,17,50,0.6049382716049383,0.6864197530864198,15.283582089552239,9.251713772155624e-05,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,one_shot,405,226,82,31,66,0.6345679012345679,0.7209876543209877,11.917525773195877,0.0005560828940536131,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,few_shot_2,405,211,64,48,82,0.6395061728395062,0.7234567901234568,8.376923076923077,0.003800152373455722,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,few_shot_3,405,236,60,39,70,0.6790123456790124,0.7555555555555555,8.256880733944953,0.004059782526314916,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,role_based,405,232,101,19,53,0.6197530864197531,0.7037037037037037,15.125,0.00010062192211963679,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,structured,405,123,152,33,97,0.3851851851851852,0.5432098765432098,30.53076923076923,3.286131095138943e-08,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,cot,405,168,110,26,101,0.47901234567901235,0.6641975308641975,43.118110236220474,5.153303078221434e-11,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,irac,405,0,355,0,50,0.0,0.12345679012345678,48.02,4.218936524005768e-12,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,crac,405,0,366,0,39,0.0,0.0962962962962963,37.02564102564103,1.1658598093780509e-09,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,creac,405,0,388,0,17,0.0,0.04197530864197531,,1.52587890625e-05,exact_binomial,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,cleo,405,1,321,0,83,0.0024691358024691358,0.2074074074074074,81.01204819277109,2.24345727806778e-19,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,treacc,405,0,404,0,1,0.0,0.0024691358024691358,,1.0,exact_binomial,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,interpretation,ireac,405,0,394,0,11,0.0,0.027160493827160494,,0.0009765625,exact_binomial,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,zero_shot,405,56,290,29,30,0.20987654320987653,0.2123456790123457,0.0,1.0,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,one_shot,405,53,266,59,27,0.2765432098765432,0.19753086419753085,11.174418604651162,0.0008293287959082978,chi_square_corrected,True
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,few_shot_2,405,90,240,37,38,0.3135802469135803,0.3160493827160494,0.0,1.0,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,few_shot_3,405,96,177,65,67,0.39753086419753086,0.4024691358024691,0.007575757575757576,0.9306406489398111,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,role_based,405,63,276,32,34,0.2345679012345679,0.23950617283950618,0.015151515151515152,0.9020346492544503,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,structured,405,56,248,56,45,0.2765432098765432,0.24938271604938272,0.9900990099009901,0.3197181768128675,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,cot,405,62,273,38,32,0.24691358024691357,0.23209876543209876,0.35714285714285715,0.5500973172303969,chi_square_corrected,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,irac,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,crac,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,creac,405,0,404,0,1,0.0,0.0024691358024691358,,1.0,exact_binomial,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,cleo,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,treacc,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,ireac,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
